PA,SZ,0_to_4,5_to_9,10_to_14,15_to_19,20_to_24,25_to_29,30_to_34,35_to_39,40_to_44,45_to_49,50_to_54,55_to_59,60_to_64,65_to_69,70_to_74,75_to_79,80_to_84,85_to_89,90_and_over
Ang Mo Kio,Ang Mo Kio Town Centre,170,260,330,310,290,290,280,330,430,470,350,350,290,270,200,140,80,40,10
Ang Mo Kio,Cheng San,1050,1000,1060,1210,1380,1810,2010,2220,2050,2220,2070,2160,2200,2150,1570,1020,580,310,150
Ang Mo Kio,Chong Boon,840,880,1020,1150,1380,1600,1930,1820,1900,1840,1980,2150,2160,2080,1670,1190,740,400,200
Ang Mo Kio,Kebun Bahru,730,840,1020,1090,1170,1450,1400,1550,1700,1860,1820,1800,1750,1700,1300,900,590,330,140
Ang Mo Kio,Sembawang Hills,200,280,410,460,530,510,320,290,400,540,540,550,480,420,300,240,150,100,50
Ang Mo Kio,Shangri-La,540,590,680,720,860,1030,1030,1010,1090,1170,1260,1420,1240,1140,910,670,400,240,120
Ang Mo Kio,Tagore,220,320,430,490,570,690,490,360,450,600,590,700,710,520,330,220,190,100,60
Ang Mo Kio,Townsville,750,910,930,830,930,1370,1370,1520,1700,1550,1400,1630,1680,1590,1310,960,610,330,180
Ang Mo Kio,Yio Chu Kang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ang Mo Kio,Yio Chu Kang East,160,170,230,260,320,330,240,240,250,330,290,350,360,250,170,110,80,30,30
Ang Mo Kio,Yio Chu Kang North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ang Mo Kio,Yio Chu Kang West,760,980,1270,1410,1490,1540,1440,1600,1790,1990,1870,1980,1940,1850,1200,710,420,230,100
Bedok,Bayshore,320,470,490,420,350,330,310,580,800,860,640,480,400,350,260,130,90,40,60
Bedok,Bedok North,2790,3140,3560,4250,4880,5740,5120,5340,5810,6030,6400,7050,6520,5950,4400,2640,1640,940,480
Bedok,Bedok Reservoir,1130,1270,1490,1510,1530,1590,1880,1940,2120,2120,1930,1880,1840,1470,890,490,300,180,70
Bedok,Bedok South,1490,1820,2200,2440,2850,3300,2870,2830,3160,3540,3580,3850,3760,3380,2570,1680,1220,680,370
Bedok,Frankel,1480,2050,2080,1720,1890,2050,1940,2490,2990,3130,2490,2270,2080,1940,1430,890,700,440,280
Bedok,Kaki Bukit,1210,1270,1650,2080,2690,3310,2760,2270,2320,2520,2630,3490,3460,2600,1700,870,550,230,170
Bedok,Kembangan,1440,1380,1570,1870,2120,2790,2730,2520,2400,2580,2740,3040,3280,2690,1950,1270,860,510,330
Bedok,Siglap,160,240,260,350,350,420,330,340,470,510,460,490,490,430,460,330,240,110,60
Bishan,Bishan East,850,1180,1330,1400,1580,2460,2040,1800,1920,2210,1920,2260,2420,2100,1350,870,570,300,150
Bishan,Marymount,1070,1390,1630,1720,2190,2590,1740,1850,2080,2290,2330,2590,2330,1700,1100,660,390,220,130
Bishan,Upper Thomson,930,1280,1470,1620,1800,2040,1650,1640,1940,2360,2260,2370,2390,1930,1430,1010,710,450,240
Boon Lay,Liu Fang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boon Lay,Samulun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boon Lay,Shipyard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boon Lay,Tukang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bukit Batok,Brickworks,1830,850,670,570,490,2200,2500,1240,1140,1000,790,610,460,320,210,130,60,40,10
Bukit Batok,Bukit Batok Central,1260,1270,1400,1530,1560,2040,2340,1930,1870,1990,2030,2060,2110,1660,1020,600,400,190,120
Bukit Batok,Bukit Batok East,330,360,600,630,840,970,850,830,840,970,1020,1220,1260,950,560,290,180,110,60
Bukit Batok,Bukit Batok South,720,700,760,900,1190,1170,1300,1110,930,1100,1200,1320,1210,720,370,170,110,60,30
Bukit Batok,Bukit Batok West,670,610,740,840,940,1020,1230,1070,1050,1070,1100,1230,1190,1000,550,300,190,130,70
Bukit Batok,Gombak,370,540,570,570,650,700,610,770,900,790,720,720,630,540,380,250,190,90,50
Bukit Batok,Guilin,450,570,740,760,850,870,860,930,1000,1140,1150,1070,900,700,420,280,200,110,80
Bukit Batok,Hillview,580,750,1050,1430,1590,1400,1030,1030,1260,1690,1910,1760,1360,1010,570,350,190,120,60
Bukit Batok,Hong Kah North,920,990,1270,1570,1740,2140,1760,1690,1700,1930,2090,2460,2470,1660,940,560,300,170,80
Bukit Merah,Alexandra Hill,380,450,590,680,810,920,840,760,790,940,1020,1160,1130,1080,840,560,410,250,170
