PA,SZ,AG,Pop
Ang Mo Kio,Ang Mo Kio Town Centre,0_to_4,170
Ang Mo Kio,Ang Mo Kio Town Centre,5_to_9,260
Ang Mo Kio,Ang Mo Kio Town Centre,10_to_14,330
Ang Mo Kio,Ang Mo Kio Town Centre,15_to_19,310
Ang Mo Kio,Ang Mo Kio Town Centre,20_to_24,290
Ang Mo Kio,Ang Mo Kio Town Centre,25_to_29,290
Ang Mo Kio,Ang Mo Kio Town Centre,30_to_34,280
Ang Mo Kio,Ang Mo Kio Town Centre,35_to_39,330
Ang Mo Kio,Ang Mo Kio Town Centre,40_to_44,430
Ang Mo Kio,Ang Mo Kio Town Centre,45_to_49,470
Ang Mo Kio,Ang Mo Kio Town Centre,50_to_54,350
Ang Mo Kio,Ang Mo Kio Town Centre,55_to_59,350
Ang Mo Kio,Ang Mo Kio Town Centre,60_to_64,290
Ang Mo Kio,Ang Mo Kio Town Centre,65_to_69,270
Ang Mo Kio,Ang Mo Kio Town Centre,70_to_74,200
Ang Mo Kio,Ang Mo Kio Town Centre,75_to_79,140
Ang Mo Kio,Ang Mo Kio Town Centre,80_to_84,80
Ang Mo Kio,Ang Mo Kio Town Centre,85_to_89,40
Ang Mo Kio,Ang Mo Kio Town Centre,90_and_over,10
Ang Mo Kio,Cheng San,0_to_4,1050
Ang Mo Kio,Cheng San,5_to_9,1000
Ang Mo Kio,Cheng San,10_to_14,1060
Ang Mo Kio,Cheng San,15_to_19,1210
Ang Mo Kio,Cheng San,20_to_24,1380
Ang Mo Kio,Cheng San,25_to_29,1810
Ang Mo Kio,Cheng San,30_to_34,2010
Ang Mo Kio,Cheng San,35_to_39,2220
Ang Mo Kio,Cheng San,40_to_44,2050
Ang Mo Kio,Cheng San,45_to_49,2220
Ang Mo Kio,Cheng San,50_to_54,2070
Ang Mo Kio,Cheng San,55_to_59,2160
Ang Mo Kio,Cheng San,60_to_64,2200
Ang Mo Kio,Cheng San,65_to_69,2150
Ang Mo Kio,Cheng San,70_to_74,1570
Ang Mo Kio,Cheng San,75_to_79,1020
Ang Mo Kio,Cheng San,80_to_84,580
Ang Mo Kio,Cheng San,85_to_89,310
Ang Mo Kio,Cheng San,90_and_over,150
Ang Mo Kio,Chong Boon,0_to_4,840
Ang Mo Kio,Chong Boon,5_to_9,880
Ang Mo Kio,Chong Boon,10_to_14,1020
Ang Mo Kio,Chong Boon,15_to_19,1150
Ang Mo Kio,Chong Boon,20_to_24,1380
Ang Mo Kio,Chong Boon,25_to_29,1600
Ang Mo Kio,Chong Boon,30_to_34,1930
Ang Mo Kio,Chong Boon,35_to_39,1820
Ang Mo Kio,Chong Boon,40_to_44,1900
Ang Mo Kio,Chong Boon,45_to_49,1840
Ang Mo Kio,Chong Boon,50_to_54,1980
Ang Mo Kio,Chong Boon,55_to_59,2150
Ang Mo Kio,Chong Boon,60_to_64,2160
Ang Mo Kio,Chong Boon,65_to_69,2080
Ang Mo Kio,Chong Boon,70_to_74,1670
Ang Mo Kio,Chong Boon,75_to_79,1190
Ang Mo Kio,Chong Boon,80_to_84,740
Ang Mo Kio,Chong Boon,85_to_89,400
Ang Mo Kio,Chong Boon,90_and_over,200
Ang Mo Kio,Kebun Bahru,0_to_4,730
Ang Mo Kio,Kebun Bahru,5_to_9,840
Ang Mo Kio,Kebun Bahru,10_to_14,1020
Ang Mo Kio,Kebun Bahru,15_to_19,1090
Ang Mo Kio,Kebun Bahru,20_to_24,1170
Ang Mo Kio,Kebun Bahru,25_to_29,1450
Ang Mo Kio,Kebun Bahru,30_to_34,1400
Ang Mo Kio,Kebun Bahru,35_to_39,1550
Ang Mo Kio,Kebun Bahru,40_to_44,1700
Ang Mo Kio,Kebun Bahru,45_to_49,1860
Ang Mo Kio,Kebun Bahru,50_to_54,1820
Ang Mo Kio,Kebun Bahru,55_to_59,1800
Ang Mo Kio,Kebun Bahru,60_to_64,1750
Ang Mo Kio,Kebun Bahru,65_to_69,1700
Ang Mo Kio,Kebun Bahru,70_to_74,1300
