PA,SZ,HDB 1- and 2-Room Flats,HDB 3-Room Flats,HDB 4-Room Flats,HDB 5-Room and Executive Flats,HUDC Flats (excluding those privatised),Condominiums and Other Apartments,Landed Properties,Others
Ang Mo Kio,Ang Mo Kio Town Centre,0,470,650,1830,0,1930,0,10
Ang Mo Kio,Cheng San,970,13400,8790,4960,0,0,0,100
Ang Mo Kio,Chong Boon,1610,12360,8640,3800,0,0,0,520
Ang Mo Kio,Kebun Bahru,1700,10430,5740,2220,0,1600,1160,290
Ang Mo Kio,Sembawang Hills,0,0,0,0,0,230,6520,20
Ang Mo Kio,Shangri-La,2720,6160,5170,1760,0,0,300,10
Ang Mo Kio,Tagore,0,0,0,0,0,2530,5380,130
Ang Mo Kio,Townsville,1460,6560,9630,3870,0,0,0,30
Ang Mo Kio,Yio Chu Kang,0,0,0,0,0,0,0,0
Ang Mo Kio,Yio Chu Kang East,0,0,0,0,0,1850,2270,80
Ang Mo Kio,Yio Chu Kang North,0,0,0,0,0,0,0,0
Ang Mo Kio,Yio Chu Kang West,2770,7450,4930,3210,0,5740,440,30
Bedok,Bayshore,0,0,0,0,0,6800,440,140
Bedok,Bedok North,4700,31350,25500,10770,0,5430,4450,480
Bedok,Bedok Reservoir,0,2940,8450,6300,0,7900,20,20
Bedok,Bedok South,1590,8130,11900,6870,0,7070,11560,470
Bedok,Frankel,0,0,0,0,0,14960,18820,560
Bedok,Kaki Bukit,510,6050,14860,14670,0,830,760,100
Bedok,Kembangan,3320,7400,6340,6940,0,5010,8180,880
Bedok,Siglap,0,0,0,0,0,6430,0,70
Bishan,Bishan East,250,1940,10800,12300,0,3050,0,370
Bishan,Marymount,0,0,13860,8900,0,4300,2870,70
Bishan,Upper Thomson,950,3070,4020,4290,0,9380,7580,230
Boon Lay,Liu Fang,0,0,0,0,0,0,0,0
Boon Lay,Samulun,0,0,0,0,0,0,0,0
Boon Lay,Shipyard,0,0,0,0,0,0,0,0
Boon Lay,Tukang,0,0,0,0,0,0,0,0
Bukit Batok,Brickworks,3010,1990,6130,3990,0,0,0,0
Bukit Batok,Bukit Batok Central,1380,3890,12330,8350,0,1430,0,0
Bukit Batok,Bukit Batok East,0,5760,4920,2070,0,0,0,120
Bukit Batok,Bukit Batok South,0,400,6470,6300,0,1210,690,0
Bukit Batok,Bukit Batok West,0,5170,5980,3830,0,0,0,20
Bukit Batok,Gombak,0,0,3690,2570,0,710,3000,70
Bukit Batok,Guilin,0,3310,2260,2220,0,5060,0,230
Bukit Batok,Hillview,0,0,0,0,0,16770,2210,160
Bukit Batok,Hong Kah North,770,7530,12620,4070,0,1260,0,190
Bukit Merah,Alexandra Hill,3910,2520,3800,3120,0,0,0,430
Bukit Merah,Alexandra North,0,0,0,0,0,2120,0,0
Bukit Merah,Bukit Ho Swee,3700,5410,3200,1900,0,540,0,30
Bukit Merah,Bukit Merah,0,180,0,920,0,0,0,0
Bukit Merah,City Terminals,0,0,0,0,0,0,0,0
Bukit Merah,Depot Road,140,310,2080,2030,0,1950,0,0
Bukit Merah,Everton Park,450,1640,2060,3210,0,370,210,30
Bukit Merah,Henderson Hill,3930,4230,3760,1270,0,190,0,0
Bukit Merah,Kampong Tiong Bahru,2060,4060,1870,1170,0,0,0,150
Bukit Merah,Maritime Square,0,0,0,0,0,2950,50,390
Bukit Merah,Redhill,1970,440,3080,3240,0,1930,0,70
Bukit Merah,Singapore General Hospital,0,0,0,0,0,0,0,0
Bukit Merah,Telok Blangah Drive,1580,5250,8250,3530,0,490,0,10
Bukit Merah,Telok Blangah Rise,790,4050,5350,1210,0,800,180,20
Bukit Merah,Telok Blangah Way,1930,4470,1610,1540,0,0,0,10
Bukit Merah,Tiong Bahru,430,2780,6340,2730,0,690,0,60
Bukit Merah,Tiong Bahru Station,1620,730,7050,4720,0,1310,0,0
Bukit Panjang,Bangkit,0,2920,12010,5370,0,2290,0,0
Bukit Panjang,Dairy Farm,0,0,0,0,0,4770,2010,0
Bukit Panjang,Fajar,580,2090,13820,11720,0,0,0,0
Bukit Panjang,Jelebu,0,3840,9880,10750,0,6510,680,0
Bukit Panjang,Nature Reserve,0,0,0,0,0,3270,550,0
Bukit Panjang,Saujana,330,750,10600,12470,0,2040,0,0
Bukit Panjang,Senja,1650,600,9800,8300,0,0,0,100
Bukit Timah,Anak Bukit,160,10,2080,3170,0,9020,7600,210
Bukit Timah,Coronation Road,0,0,0,0,0,2260,4030,260
Bukit Timah,Farrer Court,0,860,540,350,0,3570,1060,60
Bukit Timah,Hillcrest,0,0,0,0,0,3840,5170,230
Bukit Timah,Holland Road,0,0,0,0,0,6430,4250,30
Bukit Timah,Leedon Park,0,0,0,0,0,2110,4310,0
Bukit Timah,Swiss Club,0,0,0,0,0,1780,3360,80
Bukit Timah,Ulu Pandan,0,0,0,0,0,7830,3060,0
Central Water Catchment,Central Water Catchment,0,0,0,0,0,0,0,0
Changi,Changi Airport,0,0,0,0,0,0,0,0
Changi,Changi Point,0,370,0,0,0,0,90,20
Changi,Changi West,0,0,0,0,0,0,240,1070
Changi Bay,Changi Bay,0,0,0,0,0,0,0,0
Choa Chu Kang,Choa Chu Kang Central,0,0,8010,5930,0,8670,0,0
Choa Chu Kang,Choa Chu Kang North,1520,580,9190,16440,0,2320,2210,180
